Nom,Prénom,Numéro rue,Rue,Complément,Code postal,Ville,mail personnel,mail professionnel,téléphone personnel,téléphone portable,cotisation,date d’adhésion,statut
WERNDORFER,sebastien,6,Route des Ramparts,,45300,Bondaroy,WERND_sebastien@yahoo.fr,WERNDORFER.sebastien@3dcom.fr,0215984512,0689067823,oui,18/01/2008,membre
ASSELIN,Francis,14,Rue des Lilas,,45270,Bellegarde,ass4@gmail.com,asselin.francis@unic.fr,0238901586,0689154763,oui,04/06/2008,membre
FEUILLETTE,Karine,56,Rue des Mesanges,,45760,Boigny sur Bionne,karine_5@free.fr,feuillette.karine@meg.fr,0232314589,0000000000,oui,03/09/2008,membre
VANNIER,Anne,18,Rue du Buis,,45480,Boisseaux,vannier_2@orange.fr,vannier.anne@lef.fr,0203690452,0000000000,oui,09/06/2010,membre
ROBIN,Louise,120,Route du Pressoir,,45420,Bonny sur Loire,robin5@yahoo.fr,robin.louise@def.fr,0223697125,0756123678,oui,,
LELAY,Romuald,4,Rue de la République,,45420,Bonny sur Loire,romuald6@sfr.fr,lelay.romuald@ac-orleans-tours.fr,0238963791,0000000000,oui,23/09/2010,membre
VRIGNAUD,Denise,10,Place Charles Desvergnes,,45270,Bellegarde,vrign4@orange.fr,vrignaud.denise@3dcom.fr,0238947823,0000000000,oui,19/11/2010,membre
TALEXA,Chantal,15,Rue Verdun,,45760,Boigny sur Bionne,talechan@sfr.fr,talexa.chantal@gra.fr,0213269832,0000000000,oui,23/12/2011,membre
RONDEAU,Pascale,4,Impasse de l'hopital,,45760,Boigny sur Bionne,rondeau_4@tele2.fr,rondeau.pascale@laforet.fr,0297147136,0000000000,oui,23/12/2011,membre
BERTRAND,Thierry,51,Rue du 14 Juillet,C1 résidence les Puisseaux,45420,Bonny sur Loire,bertrand_5@sfr.fr,bertrand.thierry@caf.fr,0225984127,0000000000,oui,01/02/2012,membre
LEMOSSE,Matine,13,Route Auvilliers,,45270,Bellegarde,lemosse_m@bouygues.fr,lemosse.martine@edf.fr,0277326942,0000000000,non,03/12/2012,membre
VALADE,Florence,38,Rue des Roziers,,45480,Boisseaux,floflo@free.fr,valade.florence@basf.fr,0238953971,0723141982,oui,06/04/2014,membre
MAZAUD,Izabelle,56,Boulevard Quebec,residence Jeanne d'Arc,45000,Orleans,mazaud_5@orange.fr,mazaud.izabelle@bin.fr,,0784371269,oui,18/06/2015,membre
BARRANGER,Rodolphe,39,Rue du Canal,,45760,Boigny sur Bionne,barra_rodol@orange.fr,barranger.rodolphe@cit.fr,0945698723,0000000000,non,13/10/2015,membre
CHESNAU,Olivier,103,Boulevard la Salle,,45000,Orleans,chesoliv@sfr.fr,chesnau.olivier@univ.fr,0215893612,0756127893,oui,23/03/2016,membre
JACQUET,Jean-rémy,12,Rue des Acacias,,45420,Bonny sur Loire,jacque_2@red.fr,jacquet.jean-remy@gdf.fr,0296986123,0789147883,non,28/04/2016,membre
THION,Christel,56,Avenue Jean Jaures,C10 Les Lillas,45000,Orleans,christel@yahoo.fr,thion.christel@caf.fr,0978451258,0691080989,oui,03/05/2017,membre
DE SOLAIRE,Hubert,23,route de Sully,,45460,Bonnée,desolaire_2@free.fr,desolaire.hubert@st.fr,,0720193059,oui,27/12/2017,membre
CAMUS,Martial,210,Rue Tertres,,45760,Boigny sur Bionne,camus_5@gmail.fr,camus.martial@mer.fr,,0789871369,non,09/05/2018,membre
FOURNIER,Virginie,19,Route de Ferrières,,45270,Bellegarde,fournier2@bouygue.fr,fournier.michel@avr.fr,0218459863,0712599523,non,04/06/2019,membre
